"node_from","node_to","iteration","edge_type","value"
"V1","V1","iter1","present",189
"V2","V1","iter1","present",274
"V3","V1","iter1","present",259
"V4","V1","iter1","present",105
"V5","V1","iter1","present",96
"V6","V1","iter1","present",118
"V7","V1","iter1","present",65
"V8","V1","iter1","present",85
"V9","V1","iter1","present",67
"V10","V1","iter1","present",93
"V11","V1","iter1","present",98
"V12","V1","iter1","present",82
"V13","V1","iter1","present",115
"T","V1","iter1","present",0
"V1","V2","iter1","present",228
"V2","V2","iter1","present",216
"V3","V2","iter1","present",249
"V4","V2","iter1","present",109
"V5","V2","iter1","present",99
"V6","V2","iter1","present",83
"V7","V2","iter1","present",64
"V8","V2","iter1","present",73
"V9","V2","iter1","present",79
"V10","V2","iter1","present",91
"V11","V2","iter1","present",125
"V12","V2","iter1","present",96
"V13","V2","iter1","present",143
"T","V2","iter1","present",0
"V1","V3","iter1","present",235
"V2","V3","iter1","present",251
"V3","V3","iter1","present",149
"V4","V3","iter1","present",84
"V5","V3","iter1","present",99
"V6","V3","iter1","present",70
"V7","V3","iter1","present",76
"V8","V3","iter1","present",72
"V9","V3","iter1","present",69
"V10","V3","iter1","present",74
"V11","V3","iter1","present",92
"V12","V3","iter1","present",92
"V13","V3","iter1","present",108
"T","V3","iter1","present",0
"V1","V4","iter1","present",150
"V2","V4","iter1","present",187
"V3","V4","iter1","present",143
"V4","V4","iter1","present",93
"V5","V4","iter1","present",75
"V6","V4","iter1","present",64
"V7","V4","iter1","present",42
"V8","V4","iter1","present",65
"V9","V4","iter1","present",64
"V10","V4","iter1","present",42
"V11","V4","iter1","present",61
"V12","V4","iter1","present",66
"V13","V4","iter1","present",101
"T","V4","iter1","present",0
"V1","V5","iter1","present",166
"V2","V5","iter1","present",139
"V3","V5","iter1","present",110
"V4","V5","iter1","present",76
"V5","V5","iter1","present",76
"V6","V5","iter1","present",80
"V7","V5","iter1","present",46
"V8","V5","iter1","present",59
"V9","V5","iter1","present",68
"V10","V5","iter1","present",46
"V11","V5","iter1","present",78
"V12","V5","iter1","present",64
"V13","V5","iter1","present",103
"T","V5","iter1","present",0
"V1","V6","iter1","present",121
"V2","V6","iter1","present",161
"V3","V6","iter1","present",145
"V4","V6","iter1","present",76
"V5","V6","iter1","present",64
"V6","V6","iter1","present",81
"V7","V6","iter1","present",37
"V8","V6","iter1","present",58
"V9","V6","iter1","present",58
"V10","V6","iter1","present",50
"V11","V6","iter1","present",47
"V12","V6","iter1","present",66
"V13","V6","iter1","present",105
"T","V6","iter1","present",0
"V1","V7","iter1","present",145
"V2","V7","iter1","present",143
"V3","V7","iter1","present",94
"V4","V7","iter1","present",66
"V5","V7","iter1","present",44
"V6","V7","iter1","present",53
"V7","V7","iter1","present",61
"V8","V7","iter1","present",51
"V9","V7","iter1","present",33
"V10","V7","iter1","present",35
"V11","V7","iter1","present",42
"V12","V7","iter1","present",42
"V13","V7","iter1","present",85
"T","V7","iter1","present",0
"V1","V8","iter1","present",112
"V2","V8","iter1","present",141
"V3","V8","iter1","present",101
"V4","V8","iter1","present",64
"V5","V8","iter1","present",66
"V6","V8","iter1","present",73
"V7","V8","iter1","present",35
"V8","V8","iter1","present",50
"V9","V8","iter1","present",55
"V10","V8","iter1","present",28
"V11","V8","iter1","present",73
"V12","V8","iter1","present",71
"V13","V8","iter1","present",95
"T","V8","iter1","present",0
"V1","V9","iter1","present",117
"V2","V9","iter1","present",149
"V3","V9","iter1","present",108
"V4","V9","iter1","present",75
"V5","V9","iter1","present",54
"V6","V9","iter1","present",49
"V7","V9","iter1","present",52
"V8","V9","iter1","present",51
"V9","V9","iter1","present",66
"V10","V9","iter1","present",29
"V11","V9","iter1","present",48
"V12","V9","iter1","present",63
"V13","V9","iter1","present",75
"T","V9","iter1","present",0
"V1","V10","iter1","present",115
"V2","V10","iter1","present",135
